timestamp,temperature,pressure,vibration,rpm
18:44:57,30,36,0.35,1694
18:45:02,41,37,0.44,1305
18:45:07,35,26,0.28,1012
18:45:12,64,36,0.34,1137
18:45:17,34,25,0.49,1513
18:45:22,57,21,0.16,1385
18:45:27,30,21,0.23,1212
18:45:32,42,35,0.38,1396
18:45:37,59,36,0.47,1680
18:45:42,52,25,0.31,1353
18:45:47,37,28,0.33,1025
18:45:52,36,32,0.13,1739
18:45:57,49,22,0.21,1673
18:46:02,30,23,0.49,1441
18:46:07,60,36,0.27,1523
18:46:12,33,29,0.49,1951
18:46:17,36,39,0.36,1026
18:46:22,60,32,0.41,1171
18:46:27,30,27,0.14,1174
18:46:32,45,40,0.12,1391
18:46:37,40,29,0.36,1873
18:46:42,66,35,0.4,1747
18:46:47,31,37,0.47,1195
18:46:52,44,38,0.46,1330
18:46:57,52,38,0.32,1354
18:47:02,70,32,0.14,1786
18:47:07,65,23,0.25,1208
18:47:12,68,34,0.16,1396
18:47:17,68,38,0.44,1853
18:47:22,39,40,0.3,1796
18:47:27,68,24,0.38,1221
18:47:32,55,27,0.35,1592
18:47:37,58,27,0.17,1404
18:47:42,52,37,0.19,1228
18:47:47,31,22,0.15,1613
18:47:52,57,27,0.37,1112
18:47:57,33,39,0.12,1517
18:48:02,64,29,0.36,1012
18:48:07,66,30,0.43,1519
18:48:12,32,26,0.2,1145
18:48:17,42,33,0.21,1327
18:48:22,32,21,0.15,1475
18:48:27,45,24,0.25,1764
18:48:32,39,38,0.19,1298
18:48:37,43,29,0.13,1142
18:48:42,70,33,0.46,1554
18:48:47,35,22,0.23,1368
18:48:52,50,31,0.18,1216
18:48:57,70,20,0.37,1112
18:49:02,55,28,0.4,1885
18:49:07,44,23,0.32,1335
18:49:12,37,33,0.45,1133
18:49:17,42,40,0.17,1395
18:49:22,62,25,0.12,1601
18:49:27,57,30,0.14,1614
18:49:32,34,28,0.36,1748
18:49:37,63,38,0.38,1385
18:49:42,36,29,0.24,1671
18:49:47,66,38,0.18,1133
18:49:52,69,23,0.31,1915
18:49:57,60,26,0.41,1181
18:50:02,52,29,0.42,1509
18:50:07,50,28,0.39,1199
18:50:12,58,23,0.48,1422
18:50:17,65,37,0.25,1563
18:50:22,47,30,0.25,1735
18:50:27,58,33,0.47,1001
18:50:32,44,27,0.41,1246
18:50:37,41,31,0.24,1719
18:50:42,59,38,0.3,1083
18:50:47,68,32,0.47,1891
18:50:52,40,25,0.42,1074
18:50:57,46,34,0.14,1099
18:51:02,56,26,0.5,1680
18:51:07,50,22,0.11,1488
18:51:12,59,34,0.22,1554
18:51:17,59,38,0.45,1741
18:51:22,63,31,0.39,1771
18:51:27,36,36,0.2,1857
18:51:32,61,21,0.32,1527
18:51:37,57,29,0.41,1812
18:51:42,30,38,0.26,1360
18:51:47,53,29,0.48,1466
18:51:52,65,20,0.42,1246
18:51:57,42,29,0.4,1583
18:52:02,57,25,0.37,1571
18:52:07,64,39,0.37,1845
18:52:12,68,22,0.23,1705
18:52:17,64,39,0.45,1720
18:52:22,54,20,0.45,1990
18:52:27,32,36,0.21,1404
18:52:32,51,20,0.24,1746
18:52:37,59,28,0.34,1623
18:52:42,40,20,0.43,1358
18:52:47,44,37,0.5,1653
18:52:52,62,37,0.48,1432
18:52:57,60,21,0.26,1164
18:53:02,30,31,0.21,1944
18:53:07,31,30,0.2,1930
18:53:12,44,24,0.14,1695
18:53:17,45,24,0.39,1755
18:53:22,44,26,0.34,1196
18:53:27,53,24,0.48,1916
18:53:32,59,26,0.19,1681
18:53:37,57,25,0.39,1231
18:53:42,48,38,0.44,1619
18:53:47,70,38,0.13,1903
18:53:52,44,39,0.12,1134
18:53:57,51,34,0.2,1421
18:54:02,60,39,0.32,1550
18:54:07,32,27,0.12,1969
18:54:12,45,23,0.36,1717
18:54:17,52,34,0.38,1196
18:54:22,47,21,0.14,1904
18:54:27,63,24,0.2,1230
18:54:32,65,28,0.36,1438
18:54:37,62,37,0.29,1125
18:54:42,48,20,0.4,1532
18:54:47,38,35,0.38,1820
18:54:52,57,30,0.29,1866
18:54:57,31,32,0.13,1286
18:55:02,58,20,0.38,1110
18:55:07,65,23,0.23,1468
18:55:12,30,32,0.5,1605
18:55:17,69,37,0.22,1687
18:55:22,48,31,0.32,1755
18:55:27,30,38,0.25,1488
18:55:32,56,28,0.47,1108
18:55:37,60,31,0.47,1877
18:55:42,37,23,0.11,1296
18:55:47,41,34,0.14,1913
18:55:52,43,21,0.28,1859
18:55:57,44,26,0.37,1249
18:56:02,35,31,0.17,1481
18:56:07,47,21,0.38,1315
18:56:12,52,20,0.26,1656
18:56:17,32,39,0.22,1527
18:56:22,44,25,0.38,1391
