temperature,vibration,rpm,pressure,prediction,label
34,0.13,1720,32,1,Normal
51,0.44,1486,28,1,Normal
69,0.46,1110,22,-1,Anomaly
44,0.3,1280,35,1,Normal
31,0.1,1368,28,1,Normal
47,0.5,1091,23,1,Normal
65,0.36,1314,21,1,Normal
65,0.35,1911,21,1,Normal
68,0.22,1462,29,1,Normal
65,0.28,1243,24,1,Normal
31,0.18,1786,37,1,Normal
55,0.43,1522,24,1,Normal
45,0.47,1868,32,1,Normal
39,0.22,1190,28,1,Normal
39,0.34,1647,22,1,Normal
68,0.46,1836,22,1,Normal
51,0.39,1882,29,1,Normal
60,0.41,1013,34,1,Normal
59,0.12,1079,29,1,Normal
65,0.45,1758,21,1,Normal
45,0.35,1310,20,1,Normal
30,0.32,1606,28,1,Normal
49,0.39,1349,37,1,Normal
35,0.28,1960,20,1,Normal
50,0.39,1577,34,1,Normal
62,0.27,1071,27,1,Normal
67,0.36,1075,26,1,Normal
42,0.44,1008,38,1,Normal
56,0.45,1046,31,1,Normal
38,0.3,1920,29,1,Normal
36,0.36,1884,40,1,Normal
47,0.39,1868,20,1,Normal
54,0.21,1877,34,1,Normal
40,0.32,1634,35,1,Normal
61,0.25,1672,26,1,Normal
63,0.17,1363,36,1,Normal
48,0.31,1157,20,1,Normal
32,0.47,1216,35,1,Normal
69,0.26,1375,28,1,Normal
63,0.39,1218,27,1,Normal
41,0.35,1563,40,1,Normal
44,0.41,1424,40,1,Normal
52,0.12,1071,32,1,Normal
45,0.44,1854,20,1,Normal
67,0.29,1083,37,1,Normal
61,0.16,1211,31,1,Normal
47,0.14,1009,27,1,Normal
39,0.28,1834,37,1,Normal
34,0.29,1044,40,-1,Anomaly
38,0.23,1185,24,1,Normal
64,0.2,1368,33,1,Normal
62,0.28,1470,39,1,Normal
58,0.11,1552,28,1,Normal
57,0.45,1906,32,1,Normal
45,0.34,1858,20,1,Normal
37,0.44,1445,28,1,Normal
40,0.39,1290,37,1,Normal
63,0.28,1644,27,1,Normal
59,0.38,1642,32,1,Normal
59,0.5,1962,29,1,Normal
58,0.5,1625,25,1,Normal
64,0.24,1897,36,1,Normal
38,0.18,1821,20,1,Normal
68,0.26,1141,40,1,Normal
57,0.49,1281,31,1,Normal
67,0.36,1696,23,1,Normal
48,0.18,1151,32,1,Normal
67,0.26,1002,22,1,Normal
31,0.4,1980,32,1,Normal
56,0.25,1883,34,1,Normal
58,0.42,1714,33,1,Normal
34,0.49,1859,28,1,Normal
54,0.13,1551,33,1,Normal
37,0.18,1105,36,1,Normal
50,0.41,1897,38,1,Normal
33,0.44,1139,24,1,Normal
49,0.35,1639,24,1,Normal
40,0.33,1700,28,1,Normal
37,0.4,1391,40,1,Normal
69,0.37,1429,30,1,Normal
59,0.35,1491,40,1,Normal
64,0.48,1495,24,1,Normal
57,0.29,1641,27,1,Normal
40,0.16,1256,23,1,Normal
37,0.43,1935,30,1,Normal
60,0.17,1908,23,1,Normal
66,0.24,1482,26,1,Normal
37,0.19,1677,30,1,Normal
48,0.48,1114,27,1,Normal
60,0.3,1272,22,1,Normal
68,0.43,1995,23,1,Normal
69,0.45,1913,37,1,Normal
64,0.34,1400,37,1,Normal
65,0.11,1520,31,1,Normal
65,0.43,1670,35,1,Normal
34,0.37,1859,31,1,Normal
60,0.34,1233,34,1,Normal
50,0.2,1869,32,1,Normal
47,0.36,1313,29,1,Normal
31,0.33,1789,34,1,Normal
