timestamp,temperature,pressure,vibration,rpm
18:39:22,70,38,0.32,1173
18:39:27,33,27,0.44,1743
18:39:32,31,40,0.43,1122
18:39:37,59,40,0.13,1429
18:39:42,52,36,0.25,1650
18:39:47,31,33,0.42,1979
18:39:52,32,33,0.44,1679
18:39:57,38,29,0.12,1116
18:40:02,30,34,0.45,1610
18:40:07,68,35,0.3,1418
18:40:12,40,40,0.19,1606
18:40:17,55,35,0.26,1288
18:40:22,62,25,0.12,1132
18:40:27,32,34,0.48,1739
18:40:32,31,30,0.23,1868
18:40:37,46,32,0.26,1261
18:40:42,47,24,0.28,1300
18:40:47,31,39,0.22,1520
18:40:52,45,34,0.45,1777
18:40:57,47,36,0.25,1617
18:41:02,69,31,0.38,1159
18:41:07,70,39,0.44,1148
18:41:12,63,34,0.2,1199
18:41:17,36,21,0.43,1685
18:41:22,65,25,0.25,1839
18:41:27,56,29,0.23,1283
18:41:32,58,36,0.27,1816
18:41:37,64,27,0.45,1901
18:41:42,54,20,0.32,1005
18:41:47,67,40,0.44,1822
18:41:52,63,33,0.15,1141
18:41:57,35,29,0.23,1335
18:42:02,44,31,0.24,1281
18:42:07,62,22,0.14,1997
18:42:12,45,24,0.4,1640
18:42:17,53,28,0.27,1113
18:42:22,49,21,0.4,1907
18:42:27,70,37,0.3,1524
18:42:32,61,25,0.42,1808
18:42:37,69,37,0.12,1454
18:42:42,31,31,0.13,1576
18:42:47,67,34,0.39,1016
18:42:52,32,26,0.4,1103
18:42:57,41,23,0.39,1813
18:43:02,35,22,0.13,1892
18:43:07,46,40,0.12,1857
18:43:12,68,32,0.46,1693
18:43:17,60,30,0.36,1301
18:43:22,46,38,0.37,1662
18:43:27,69,27,0.21,1368
18:43:32,69,32,0.49,1807
18:43:37,46,24,0.2,1764
18:43:42,61,38,0.25,1217
18:43:47,34,24,0.17,1052
18:43:52,56,31,0.34,1991
18:43:57,48,31,0.28,1671
18:44:02,35,33,0.31,1692
18:44:07,60,32,0.4,1088
18:44:12,50,24,0.39,1699
18:44:17,53,36,0.37,1432
18:44:22,63,31,0.39,1909
